Tanggal,Kurs_USD_IDR,Harga_Emas_IDR_per_Gram,Harga_Minyak_IDR_per_Barel,Fed_Rate_Percent
1/3/2023,15550,919746.4671,1196261.505,4.332496643
1/4/2023,15571.7998,927594.3684,1134249.841,4.332496643
1/5/2023,15560,917886.6931,1146305.172,4.332496643
1/6/2023,15620,936190.565,1152287.348,4.332496643
1/9/2023,15602.2998,939393.5114,1164399.592,4.332496643
1/10/2023,15580,937499.8833,1170369.643,4.332496643
1/11/2023,15528.90039,935922.8477,1202092.236,4.332496643
1/12/2023,15414,939355.2816,1208303.451,4.332496643
1/13/2023,15172,935777.8118,1211635.929,4.332496643
1/17/2023,15082,924795.9125,1209274.765,4.332496643
1/18/2023,15162,928336.4628,1205075.811,4.332496643
1/19/2023,15096,932886.0492,1212661.708,4.330001831
1/20/2023,15141,937760.1482,1231114.673,4.332496643
1/23/2023,15055.90039,932828.3079,1228862.631,4.330001831
1/24/2023,15007,933079.4819,1202510.869,4.330001831
1/25/2023,14955.5,933387.4281,1198683.348,4.332496643
1/26/2023,14938.7002,926527.4385,1210184.135,4.330001831
1/27/2023,14942.5,926522.9037,1190618.405,4.330001831
1/30/2023,14970.40039,925509.4532,1166194.213,4.330001831
1/31/2023,14995,930212.1144,1182655.691,4.332496643
2/1/2023,14990.7002,929126.0652,1145439.457,4.572502136
2/2/2023,14855,915222.9564,1127197.359,4.572502136
2/3/2023,14881,891276.3922,1092116.581,4.572502136
2/6/2023,15078.7998,904723.1167,1117489.863,4.574996948
2/7/2023,15200,914682.8896,1172527.991,4.569999695
2/8/2023,15147,914269.3964,1188585.108,4.569999695
2/9/2023,15117,907015.116,1180032.983,4.572502136
2/10/2023,15140,906740.1656,1206960.818,4.569999695
2/13/2023,15182.2002,903947.0449,1216701.514,4.569999695
2/14/2023,15211,906688.7649,1202581.623,4.572502136
2/15/2023,15179,895118.5898,1192917.554,4.572502136
2/16/2023,15210,900761.0076,1193832.868,4.572502136
2/17/2023,15142,895955.0266,1155940.225,4.572502136
2/21/2023,15162.5,893560.6121,1154776.056,4.572502136
2/22/2023,15233,897225.5855,1126480.304,4.572502136
2/23/2023,15192,887972.6076,1145324.871,4.572502136
2/24/2023,15210,884525.8168,1160827.195,4.569999695
2/27/2023,15257.7002,891322.2388,1154702.755,4.572502136
2/28/2023,15209,894296.1555,1171853.496,4.572502136
3/1/2023,15240,900430.7315,1183995.637,4.665000916
3/2/2023,15243,898549.697,1191392.936,4.667503357
3/3/2023,15322,910201.7024,1220856.965,4.667503357
3/6/2023,15255.09961,906325.6206,1227425.301,4.667503357
3/7/2023,15352,895300.9525,1191008.188,4.692497253
3/8/2023,15437,899662.39,1183400.477,4.70249939
3/9/2023,15450,908665.7693,1169874.019,4.694999695
3/10/2023,15489,927243.4935,1187696.525,4.662498474
3/13/2023,15472.59961,950985.1919,1157350.498,4.605003357
3/14/2023,15409,944351.4411,1099123.998,4.637496948
3/15/2023,15372,952165.9885,1039300.929,4.617500305
3/16/2023,15479,955011.526,1057989.626,4.635002136
3/17/2023,15422,976682.8927,1029264.247,4.625
3/20/2023,15368.5,977939.2817,1039525.331,4.629997253
3/21/2023,15340,955806.2597,1063522.228,4.635002136
3/22/2023,15294,957267.1869,1084344.623,4.647499084
3/23/2023,15251,977621.3142,1066959.946,4.647499084
3/24/2023,15047,958884.3163,1042155.252,4.647499084
3/27/2023,15148,950856.1921,1102925.843,4.650001526
3/28/2023,15107.5,958028.3045,1105868.954,4.650001526
3/29/2023,15061,952028.927,1099001.188,4.650001526
3/30/2023,15031.5,957026.7071,1117892.696,4.650001526
